Country,State,Timestamp,SensorID,Latitude,Longitude,Temperature,QualityFlag
India,Karnataka,2015-04-06,S1095,43.4017,26.8103,20.16,GOOD
India,Karnataka,2015-04-07,S1096,29.7355,8.3036,20.24,GOOD
India,Delhi,2015-04-08,S1097,38.4808,143.8803,29.71,GOOD
India,Maharashtra,2015-04-09,S1098,5.7343,-156.0171,6.39,GOOD
Australia,New South Wales,2015-04-10,S1099,-29.717,-129.8621,37.09,BAD
Australia,New South Wales,2015-04-11,S1100,-33.89,-90.5439,30.06,GOOD
Australia,Victoria,2015-04-12,S1101,67.8178,-56.8506,43.17,GOOD
USA,California,2015-04-13,S1102,40.0055,79.2132,22.84,GOOD
Australia,New South Wales,2015-04-14,S1103,-27.7747,-114.6248,17.17,GOOD
USA,Texas,2015-04-15,S1104,-64.9591,-143.7139,21.74,GOOD
India,Karnataka,2015-04-16,S1105,75.3751,104.4305,13.38,GOOD
India,Karnataka,2015-04-17,S1106,78.1861,153.2047,27.0,GOOD
Australia,Victoria,2015-04-18,S1107,-67.5607,151.5031,15.88,BAD
Australia,Queensland,2015-04-19,S1108,54.5136,-178.3325,45.31,GOOD
India,Karnataka,2015-04-20,S1109,-27.6577,-55.0968,29.19,GOOD
USA,New York,2015-04-21,S1110,-0.2938,-29.1868,12.98,GOOD
India,Delhi,2015-04-22,S1111,-51.7175,5.4625,22.91,GOOD
India,Delhi,2015-04-23,S1112,17.1693,-155.8525,22.85,BAD
Australia,New South Wales,2015-04-24,S1113,-55.6762,-166.8421,16.15,GOOD
USA,New York,2015-04-25,S1114,-62.0568,-114.5059,36.11,GOOD
India,Karnataka,2015-04-26,S1115,25.9199,-32.8557,3.73,GOOD
Australia,New South Wales,2015-04-27,S1116,-48.4065,61.8814,28.88,GOOD
India,Maharashtra,2015-04-28,S1117,10.2099,79.4927,18.82,GOOD
Australia,Queensland,2015-04-29,S1118,-16.8494,-63.3636,35.0,BAD
USA,New York,2015-04-30,S1119,-67.9002,135.5199,28.36,GOOD
India,Maharashtra,2015-05-01,S1120,22.3468,-32.6118,15.07,GOOD
USA,California,2015-05-02,S1121,47.449,-129.5593,18.47,GOOD
USA,Texas,2015-05-03,S1122,-41.6381,14.9883,32.77,
India,Delhi,2015-05-04,S1123,87.1924,9.2485,24.75,GOOD
India,Maharashtra,2015-05-05,S1124,-52.8442,-176.0415,11.96,GOOD
India,Karnataka,2015-05-06,S1125,18.093,59.4132,29.41,GOOD
Australia,Queensland,2015-05-07,S1126,-60.069,85.6921,23.74,GOOD
Australia,Victoria,2015-05-08,S1127,-38.0351,-51.9578,31.45,GOOD
India,Karnataka,2015-05-09,S1128,41.863,-102.6215,29.59,GOOD
Australia,New South Wales,2015-05-10,S1129,17.4317,-59.6722,10.97,GOOD
USA,Texas,2015-05-11,S1130,57.4384,107.7897,24.72,GOOD
Australia,Queensland,2015-05-12,S1131,55.3374,166.3556,,GOOD
India,Maharashtra,2015-05-13,S1132,25.0109,93.2529,26.74,BAD
India,Maharashtra,2015-05-14,S1133,26.3997,69.5431,40.57,BAD
India,Delhi,2015-05-15,S1134,-4.8222,-67.3723,22.52,BAD
Australia,Victoria,2015-05-16,S1135,-14.0827,106.3231,25.93,GOOD
Australia,Queensland,2015-05-17,S1136,-24.3545,21.8438,24.46,GOOD
India,Maharashtra,2015-05-18,S1137,-17.1926,26.074,19.69,GOOD
India,Delhi,2015-05-19,S1138,-14.8489,-13.7006,34.84,GOOD
USA,Texas,2015-05-20,S1139,77.8662,-154.7893,,GOOD
USA,California,2015-05-21,S1140,87.135,96.5784,20.86,GOOD
India,Karnataka,2015-05-22,S1141,-70.1147,-52.336,36.27,GOOD
USA,Texas,2015-05-23,S1142,-13.0008,-41.6424,16.97,GOOD
Australia,Queensland,2015-05-24,S1143,86.8195,138.3116,18.86,GOOD
Australia,Queensland,2015-05-25,S1144,26.9364,38.7852,16.02,GOOD
India,Maharashtra,2015-05-26,S1145,-56.4411,100.6504,28.06,GOOD
USA,California,2015-05-27,S1146,-49.6007,-99.4257,36.36,GOOD
Australia,Victoria,2015-05-28,S1147,67.943,-84.384,20.43,GOOD
India,Delhi,2015-05-29,S1148,-44.5232,-178.1704,24.45,GOOD
Australia,Victoria,2015-05-30,S1149,-70.2956,142.0128,23.5,GOOD
India,Delhi,2015-05-31,S1150,65.6087,84.2076,32.26,GOOD
Australia,Victoria,2015-06-01,S1151,-47.0358,154.8325,25.29,GOOD
Australia,New South Wales,2015-06-02,S1152,58.647,-133.6068,19.81,
Australia,Victoria,2015-06-03,S1153,59.7842,2.6884,28.84,GOOD
Australia,Queensland,2015-06-04,S1154,24.121,14.3947,31.54,GOOD
Australia,Queensland,2015-06-05,S1155,61.2219,-38.8256,13.08,GOOD
Australia,Queensland,2015-06-06,S1156,-60.052,97.5543,31.16,GOOD
India,Maharashtra,2015-06-07,S1157,63.4346,176.4534,30.41,GOOD
Australia,Victoria,2015-06-08,S1158,57.8723,-46.1399,41.16,GOOD
Australia,New South Wales,2015-06-09,S1159,89.4824,-26.5747,19.08,GOOD
India,Delhi,2015-06-10,S1160,32.4899,55.624,28.52,GOOD
Australia,New South Wales,2015-06-11,S1161,79.8509,-28.8982,20.98,GOOD
Australia,Queensland,2015-06-12,S1162,44.2507,-107.8707,22.25,GOOD
India,Delhi,2015-06-13,S1163,7.7819,-122.6715,37.39,GOOD
India,Delhi,2015-06-14,S1164,74.1305,168.3041,,GOOD
USA,New York,2015-06-15,S1165,33.4018,-25.0899,5.15,GOOD
USA,California,2015-06-16,S1166,87.1833,-126.151,28.56,GOOD
India,Maharashtra,2015-06-17,S1167,39.9398,56.5142,17.04,GOOD
India,Delhi,2015-06-18,S1168,-86.6938,-6.3517,32.52,GOOD
India,Maharashtra,2015-06-19,S1169,6.1636,137.7121,31.77,BAD
USA,California,2015-06-20,S1170,34.7749,115.7187,21.23,BAD
USA,New York,2015-06-21,S1171,71.3198,34.1196,33.6,BAD
India,Karnataka,2015-06-22,S1172,51.0161,40.4129,12.73,BAD
Australia,New South Wales,2015-06-23,S1173,51.0899,-6.8746,31.89,GOOD
Australia,Victoria,2015-06-24,S1174,-3.7298,41.6671,23.22,GOOD
Australia,New South Wales,2015-06-25,S1175,-11.942,-164.2818,15.28,GOOD
USA,Texas,2015-06-26,S1176,-54.0824,64.8822,17.53,BAD
India,Maharashtra,2015-06-27,S1177,66.2891,81.7809,31.03,GOOD
India,Delhi,2015-06-28,S1178,14.1616,-22.0984,15.19,GOOD
India,Maharashtra,2015-06-29,S1179,-14.0902,-80.342,13.29,GOOD
Australia,Queensland,2015-06-30,S1180,73.6259,-115.3141,36.81,GOOD
USA,Texas,2015-07-01,S1181,-11.3102,-144.9384,36.04,GOOD
India,Karnataka,2015-07-02,S1182,-33.8133,-36.3435,37.34,GOOD
Australia,Victoria,2015-07-03,S1183,-18.6012,-94.67,,GOOD
Australia,New South Wales,2015-07-04,S1184,-63.7638,-18.2038,23.8,GOOD
Australia,Victoria,2015-07-05,S1185,18.9969,-51.5765,32.96,GOOD
India,Delhi,2015-07-06,S1186,-69.8545,-82.8901,28.06,GOOD
USA,California,2015-07-07,S1187,-68.0202,-17.2083,28.44,BAD
India,Karnataka,2015-07-08,S1188,83.7214,-178.2216,25.63,GOOD
USA,California,2015-07-09,S1189,2.8073,-4.0152,9.01,GOOD
USA,New York,2015-07-10,S1190,31.0684,-20.2499,17.49,BAD
India,Karnataka,2015-07-11,S1191,80.0306,65.9693,30.15,GOOD
USA,Texas,2015-07-12,S1192,34.1148,63.5448,32.7,GOOD
Australia,New South Wales,2015-07-13,S1193,-70.8133,56.8243,27.46,GOOD
USA,Texas,2015-07-14,S1194,-38.0366,-140.7205,31.42,GOOD
USA,California,2015-07-15,S1195,72.2476,136.0408,21.81,BAD
Australia,New South Wales,2015-07-16,S1196,23.4376,39.5394,22.44,GOOD
Australia,Victoria,2015-07-17,S1197,8.2236,-20.009,32.59,GOOD
USA,Texas,2015-07-18,S1198,7.6255,162.5323,15.49,GOOD
USA,Texas,2015-07-19,S1199,-63.1815,9.5846,27.5,GOOD
Australia,New South Wales,2015-07-20,S1200,58.0308,-24.8896,33.18,GOOD
Australia,Victoria,2015-07-21,S1201,-79.1519,156.397,7.51,GOOD
USA,New York,2015-07-22,S1202,54.5447,14.0981,24.73,GOOD
USA,Texas,2015-07-23,S1203,-68.0605,-114.7862,17.4,GOOD
Australia,Queensland,2015-07-24,S1204,75.1954,-27.1701,20.68,GOOD
USA,New York,2015-07-25,S1205,-69.7852,-179.0698,29.11,GOOD
USA,Texas,2015-07-26,S1206,-25.0609,146.1208,45.37,GOOD
India,Maharashtra,2015-07-27,S1207,63.2114,61.7129,28.3,GOOD
India,Maharashtra,2015-07-28,S1208,66.4667,-9.7589,20.46,GOOD
India,Delhi,2015-07-29,S1209,-52.8865,49.6659,28.46,GOOD
India,Maharashtra,2015-07-30,S1210,31.6514,-20.6219,20.62,GOOD
India,Karnataka,2015-07-31,S1211,57.3673,37.159,26.31,GOOD
USA,Texas,2015-08-01,S1212,-17.7862,-47.8958,26.35,GOOD
USA,California,2015-08-02,S1213,30.5285,-154.8246,27.01,GOOD
India,Maharashtra,2015-08-03,S1214,-80.579,-43.7485,38.52,GOOD
USA,California,2015-08-04,S1215,14.4855,-148.0437,31.96,GOOD
India,Delhi,2015-08-05,S1216,57.9252,-179.5548,35.49,GOOD
Australia,Queensland,2015-08-06,S1217,88.647,153.7203,30.56,GOOD
India,Delhi,2015-08-07,S1218,19.5276,2.4618,19.81,GOOD
USA,California,2015-08-08,S1219,-25.1754,-148.4486,27.19,GOOD
Australia,Victoria,2015-08-09,S1220,2.8223,150.9811,10.31,GOOD
Australia,New South Wales,2015-08-10,S1221,77.5071,-138.1081,29.06,GOOD
USA,California,2015-08-11,S1222,-35.1578,-150.8691,32.35,GOOD
India,Karnataka,2015-08-12,S1223,85.6098,50.7499,22.68,GOOD
India,Maharashtra,2015-08-13,S1224,0.4619,-36.4813,24.8,GOOD
India,Delhi,2015-08-14,S1225,-65.6701,166.7214,31.54,
India,Karnataka,2015-08-15,S1226,21.5258,54.0724,1.89,GOOD
Australia,New South Wales,2015-08-16,S1227,-79.5305,178.1519,27.35,GOOD
India,Karnataka,2015-08-17,S1228,34.589,-157.575,20.49,GOOD
Australia,Victoria,2015-08-18,S1229,28.0303,125.2857,21.71,GOOD
USA,New York,2015-08-19,S1230,-3.3057,-116.3206,21.54,GOOD
India,Maharashtra,2015-08-20,S1231,-14.6555,104.5216,35.62,GOOD
India,Maharashtra,2015-08-21,S1232,23.2738,-108.4117,17.05,GOOD
India,Delhi,2015-08-22,S1233,26.2962,-0.2398,29.64,GOOD
Australia,Victoria,2015-08-23,S1234,-22.3401,-37.9885,15.46,GOOD
USA,Texas,2015-08-24,S1235,51.6426,-66.4535,24.68,GOOD
India,Maharashtra,2015-08-25,S1236,-6.9341,49.3925,12.21,GOOD
USA,New York,2015-08-26,S1237,-8.8885,137.6854,21.75,GOOD
India,Delhi,2015-08-27,S1238,54.3835,-142.0677,20.17,GOOD
India,Delhi,2015-08-28,S1239,88.4859,169.47,24.39,GOOD
Australia,New South Wales,2015-08-29,S1240,-77.6317,-27.2531,20.11,GOOD
Australia,Victoria,2015-08-30,S1241,-21.2509,-105.9526,34.56,GOOD
India,Maharashtra,2015-08-31,S1242,-32.0012,-134.9159,23.31,GOOD
Australia,Queensland,2015-09-01,S1243,56.1186,56.3323,24.06,GOOD
Australia,Queensland,2015-09-02,S1244,-10.9071,40.6582,29.45,GOOD
USA,Texas,2015-09-03,S1245,-87.7113,177.2695,23.32,GOOD
USA,Texas,2015-09-04,S1246,41.1283,99.5211,23.66,GOOD
Australia,Queensland,2015-09-05,S1247,41.0305,-141.1403,27.26,GOOD
India,Karnataka,2015-09-06,S1248,43.8163,40.2986,15.43,GOOD
USA,New York,2015-09-07,S1249,67.8849,-23.8318,24.68,GOOD
USA,Texas,2015-09-08,S1250,41.9528,41.7548,23.33,GOOD
Australia,Queensland,2015-09-09,S1251,-89.0587,93.9567,18.2,GOOD
USA,California,2015-09-10,S1252,0.369,-135.1029,31.19,GOOD
Australia,Victoria,2015-09-11,S1253,-65.1919,58.6951,33.98,GOOD
USA,New York,2015-09-12,S1254,25.6186,-156.6527,34.33,GOOD
USA,New York,2015-09-13,S1255,17.8864,36.7724,20.42,GOOD
Australia,Victoria,2015-09-14,S1256,-52.2284,117.047,17.06,GOOD
Australia,Victoria,2015-09-15,S1257,-74.0519,-100.5797,28.09,GOOD
Australia,New South Wales,2015-09-16,S1258,-0.6901,-115.8291,31.18,GOOD
Australia,Queensland,2015-09-17,S1259,81.0563,-106.9429,32.06,GOOD
India,Maharashtra,2015-09-18,S1260,-12.6618,134.1829,26.13,BAD
India,Delhi,2015-09-19,S1261,37.0834,47.2214,10.85,GOOD
USA,New York,2015-09-20,S1262,-39.1058,-163.9458,22.81,
USA,New York,2015-09-21,S1263,-41.049,93.3834,17.01,BAD
USA,California,2015-09-22,S1264,5.8357,-32.0056,20.79,BAD
Australia,Queensland,2015-09-23,S1265,83.411,21.6605,24.89,GOOD
Australia,Victoria,2015-09-24,S1266,-43.8246,55.5029,24.12,GOOD
USA,California,2015-09-25,S1267,19.5349,-54.1777,20.17,GOOD
India,Delhi,2015-09-26,S1268,4.2104,-138.6832,21.59,GOOD
USA,Texas,2015-09-27,S1269,20.322,-98.5871,20.67,GOOD
USA,California,2015-09-28,S1270,65.1576,-14.3416,16.24,GOOD
Australia,Queensland,2015-09-29,S1271,-25.9248,172.1023,23.26,GOOD
Australia,New South Wales,2015-09-30,S1272,45.7394,-173.5396,7.93,GOOD
India,Karnataka,2015-10-01,S1273,-8.7769,174.5963,24.71,GOOD
USA,California,2015-10-02,S1274,28.2204,115.9571,32.06,GOOD
USA,New York,2015-10-03,S1275,4.1993,-76.6303,24.38,BAD
India,Delhi,2015-10-04,S1276,-61.5681,70.5237,34.51,BAD
USA,New York,2015-10-05,S1277,-59.6062,2.5384,29.29,GOOD
India,Karnataka,2015-10-06,S1278,68.8349,109.2973,17.36,GOOD
USA,New York,2015-10-07,S1279,30.2256,48.4817,28.39,GOOD
USA,Texas,2015-10-08,S1280,39.4837,140.4929,,GOOD
USA,Texas,2015-10-09,S1281,57.4314,14.6858,22.96,GOOD
Australia,Victoria,2015-10-10,S1282,59.0849,-59.3251,35.54,GOOD
USA,California,2015-10-11,S1283,-14.3786,145.9296,24.06,GOOD
Australia,New South Wales,2015-10-12,S1284,55.1153,123.7454,28.58,GOOD
Australia,New South Wales,2015-10-13,S1285,-33.3145,-178.6258,15.29,GOOD
Australia,New South Wales,2015-10-14,S1286,-28.7316,131.8991,28.76,GOOD
Australia,Queensland,2015-10-15,S1287,-16.5049,93.3295,16.95,GOOD
India,Karnataka,2015-10-16,S1288,-19.8433,-43.379,27.26,GOOD
USA,California,2015-10-17,S1289,-70.0703,-27.8826,30.97,GOOD
India,Maharashtra,2015-10-18,S1290,45.7131,109.7664,23.23,GOOD
India,Karnataka,2015-10-19,S1291,5.8817,48.6321,28.37,GOOD
USA,Texas,2015-10-20,S1292,41.4443,35.571,11.4,GOOD
Australia,Queensland,2015-10-21,S1293,-56.6406,-151.5711,29.23,GOOD
India,Maharashtra,2015-10-22,S1294,-69.3121,-146.2114,25.56,GOOD
India,Delhi,2015-10-23,S1295,12.919,6.2807,34.3,GOOD
Australia,Queensland,2015-10-24,S1296,19.2761,47.2707,36.79,GOOD
India,Delhi,2015-10-25,S1297,-47.8468,103.2301,22.18,GOOD
Australia,Queensland,2015-10-26,S1298,-16.7451,140.9328,17.83,BAD
USA,California,2015-10-27,S1299,-47.0058,-10.929,17.55,GOOD
India,Delhi,2015-10-28,S1300,16.3561,13.3227,43.37,GOOD
India,Maharashtra,2015-10-29,S1301,-38.7166,-13.3733,20.95,GOOD
India,Delhi,2015-10-30,S1302,-38.7788,114.5544,21.06,GOOD
India,Karnataka,2015-10-31,S1303,31.5756,-163.8527,14.26,
Australia,Victoria,2015-11-01,S1304,31.4294,-73.178,36.84,GOOD
USA,New York,2015-11-02,S1305,-89.6213,78.326,19.33,GOOD
Australia,New South Wales,2015-11-03,S1306,17.3379,17.8501,31.55,GOOD
India,Delhi,2015-11-04,S1307,-15.7184,52.5946,15.36,GOOD
USA,Texas,2015-11-05,S1308,-62.2221,-118.1345,26.86,GOOD
USA,New York,2015-11-06,S1309,88.4274,115.2045,32.31,GOOD
India,Maharashtra,2015-11-07,S1310,55.4441,-102.2215,5.38,GOOD
India,Karnataka,2015-11-08,S1311,63.3314,-34.5968,37.46,GOOD
India,Karnataka,2015-11-09,S1312,-8.9778,28.5359,33.94,GOOD
India,Karnataka,2015-11-10,S1313,-23.3906,-170.1287,26.05,
India,Karnataka,2015-11-11,S1314,80.396,-57.6832,14.86,GOOD
USA,Texas,2015-11-12,S1315,-16.2668,-67.9617,25.35,GOOD
USA,California,2015-11-13,S1316,-59.8752,169.9291,34.78,GOOD
USA,New York,2015-11-14,S1317,-52.4045,153.2294,25.89,GOOD
Australia,Queensland,2015-11-15,S1318,60.3864,-46.6571,12.14,GOOD
India,Karnataka,2015-11-16,S1319,87.1224,-76.174,17.8,GOOD
Australia,Queensland,2015-11-17,S1320,9.6681,15.0137,12.68,GOOD
USA,California,2015-11-18,S1321,-43.3197,-109.9354,13.11,GOOD
India,Delhi,2015-11-19,S1322,14.4842,-129.8892,14.91,GOOD
Australia,Victoria,2015-11-20,S1323,88.8927,136.9133,18.08,GOOD
USA,California,2015-11-21,S1324,37.9592,146.4994,23.48,GOOD
Australia,New South Wales,2015-11-22,S1325,66.5944,-132.9652,36.52,GOOD
Australia,New South Wales,2015-11-23,S1326,-63.2167,-13.4368,27.15,GOOD
USA,New York,2015-11-24,S1327,11.2881,-21.1595,22.25,GOOD
Australia,New South Wales,2015-11-25,S1328,-10.1779,36.7621,23.23,GOOD
Australia,New South Wales,2015-11-26,S1329,63.7132,-21.9061,30.4,GOOD
India,Delhi,2015-11-27,S1330,-86.5591,-8.3364,23.92,GOOD
India,Maharashtra,2015-11-28,S1331,-36.1088,-50.8624,33.03,GOOD
USA,California,2015-11-29,S1332,31.8278,118.2489,17.85,GOOD
Australia,Queensland,2015-11-30,S1333,43.2857,-128.5739,,GOOD
India,Delhi,2015-12-01,S1334,-76.0231,-33.2845,29.68,GOOD
USA,New York,2015-12-02,S1335,55.4823,161.1677,28.6,GOOD
USA,California,2015-12-03,S1336,53.0128,74.5511,25.24,GOOD
USA,Texas,2015-12-04,S1337,65.4121,-35.5298,29.87,GOOD
Australia,Queensland,2015-12-05,S1338,8.8165,-101.0614,21.25,GOOD
India,Delhi,2015-12-06,S1339,-56.1883,79.1249,19.42,GOOD
USA,Texas,2015-12-07,S1340,38.5115,116.1125,39.4,GOOD
Australia,Queensland,2015-12-08,S1341,39.7179,-35.4796,34.91,GOOD
Australia,Queensland,2015-12-09,S1342,50.943,77.4139,17.29,GOOD
USA,Texas,2015-12-10,S1343,-28.7333,158.5615,32.49,GOOD
India,Karnataka,2015-12-11,S1344,73.296,159.4742,23.64,GOOD
Australia,Victoria,2015-12-12,S1345,-69.1159,-164.775,26.2,BAD
India,Delhi,2015-12-13,S1346,-39.8809,-133.3438,18.26,GOOD
Australia,Victoria,2015-12-14,S1347,25.9469,-162.653,28.28,GOOD
India,Maharashtra,2015-12-15,S1348,-23.6327,-46.8672,25.0,GOOD
Australia,Victoria,2015-12-16,S1349,39.5377,-46.3818,29.81,GOOD
USA,New York,2015-12-17,S1350,-18.9478,155.0906,31.7,GOOD
USA,New York,2015-12-18,S1351,38.3772,-108.2825,35.45,GOOD
India,Karnataka,2015-12-19,S1352,60.3864,-174.7104,20.65,GOOD
India,Maharashtra,2015-12-20,S1353,-15.5443,-2.5687,23.7,GOOD
Australia,Queensland,2015-12-21,S1354,3.4258,63.9152,,GOOD
Australia,New South Wales,2015-12-22,S1355,13.564,-152.5014,31.28,GOOD
Australia,Queensland,2015-12-23,S1356,43.0248,-99.6252,15.99,GOOD
India,Maharashtra,2015-12-24,S1357,8.7088,136.5318,21.25,GOOD
Australia,Victoria,2015-12-25,S1358,-62.581,143.8039,35.1,GOOD
India,Delhi,2015-12-26,S1359,-79.251,61.7912,26.44,GOOD
USA,California,2015-12-27,S1360,49.847,-106.2068,26.5,GOOD
USA,New York,2015-12-28,S1361,14.0937,-127.0934,12.25,GOOD
